instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
5128,2011-08-06,3,0,8,13,0,6,0,2,0.8,0.7727,0.59,0.3284,176,265,441
13237,2012-07-10,3,1,7,17,0,2,1,1,0.78,0.7121,0.49,0.194,103,769,872
13596,2012-07-25,3,1,7,16,0,3,1,1,0.8,0.697,0.29,0.1642,91,393,484
11440,2012-04-26,2,1,4,20,0,4,1,1,0.54,0.5152,0.77,0.194,23,314,337
15687,2012-10-20,4,1,10,19,0,6,0,1,0.5,0.4848,0.45,0.1343,77,268,345
2812,2011-05-02,2,0,5,1,0,1,1,1,0.46,0.4545,0.72,0.1343,41,73,114
4205,2011-06-29,3,0,6,2,0,3,1,1,0.66,0.6061,0.83,0.2239,7,9,16
9911,2012-02-22,1,1,2,23,0,3,1,2,0.46,0.4545,0.41,0.2836,5,57,62
16715,2012-12-04,4,1,12,5,0,2,1,2,0.44,0.4394,0.88,0,1,45,46
16563,2012-11-27,4,1,11,20,0,2,1,1,0.26,0.2273,0.75,0.3284,4,228,232
4266,2011-07-01,3,0,7,15,0,5,1,1,0.82,0.697,0.21,0.2537,82,299,381
6391,2011-09-28,4,0,9,20,0,3,1,3,0.6,0.5606,0.83,0.2985,11,91,102
9405,2012-02-01,1,1,2,18,0,3,1,1,0.56,0.5303,0.46,0.1642,12,514,526
15351,2012-10-06,4,1,10,19,0,6,0,1,0.48,0.4697,0.55,0.2239,102,239,341
3987,2011-06-20,2,0,6,0,0,1,1,1,0.66,0.6061,0.83,0.1642,7,19,26
14093,2012-08-15,3,1,8,9,0,3,1,2,0.72,0.6818,0.62,0.194,57,310,367
14013,2012-08-12,3,1,8,1,0,0,0,1,0.62,0.5909,0.78,0.1343,21,92,113
14426,2012-08-29,3,1,8,6,0,3,1,1,0.6,0.5909,0.73,0.194,6,175,181
15214,2012-10-01,4,1,10,2,0,1,1,1,0.46,0.4545,0.72,0,6,6,12
364,2011-01-16,1,0,1,15,0,0,0,1,0.26,0.2424,0.38,0.2537,35,78,113
17211,2012-12-24,1,1,12,22,0,1,1,2,0.24,0.2879,0.93,0,7,5,12
10891,2012-04-03,2,1,4,22,0,2,1,1,0.5,0.4848,0.51,0,25,133,158
7090,2011-10-28,4,0,10,0,0,5,1,1,0.34,0.3182,0.66,0.2537,4,40,44
11189,2012-04-16,2,1,4,9,1,1,0,1,0.62,0.6061,0.69,0.2239,59,238,297
7708,2011-11-22,4,0,11,18,0,2,1,3,0.44,0.4394,1,0,0,148,148
12728,2012-06-19,2,1,6,12,0,2,1,1,0.7,0.6515,0.65,0.0896,70,222,292
16004,2012-11-04,4,1,11,12,0,0,0,1,0.38,0.3939,0.46,0.2239,150,354,504
12975,2012-06-29,3,1,6,19,0,5,1,1,0.9,0.8788,0.47,0.194,60,303,363
12538,2012-06-11,2,1,6,14,0,1,1,2,0.82,0.7273,0.34,0.2836,66,193,259
15985,2012-11-03,4,1,11,17,0,6,0,2,0.36,0.3333,0.46,0.2985,112,298,410
16259,2012-11-15,4,1,11,4,0,4,1,2,0.28,0.2879,0.65,0.1343,0,5,5
11839,2012-05-13,2,1,5,11,0,0,0,1,0.62,0.6212,0.57,0.2537,150,278,428
13588,2012-07-25,3,1,7,8,0,3,1,1,0.7,0.6364,0.42,0.2537,43,745,788
15255,2012-10-02,4,1,10,19,0,2,1,3,0.62,0.5455,0.94,0,27,368,395
11728,2012-05-08,2,1,5,20,0,2,1,2,0.64,0.6061,0.69,0.2836,40,262,302
15386,2012-10-08,4,1,10,6,1,1,0,1,0.34,0.3485,0.76,0.1045,5,54,59
17044,2012-12-17,4,1,12,22,0,1,1,2,0.42,0.4242,0.94,0.1343,5,49,54
13713,2012-07-30,3,1,7,13,0,1,1,1,0.8,0.7424,0.49,0.1642,57,169,226
13002,2012-06-30,3,1,6,22,0,6,0,1,0.78,0.7424,0.62,0.1642,38,134,172
1714,2011-03-17,1,0,3,1,0,4,1,1,0.36,0.3485,0.71,0.2239,1,11,12
16771,2012-12-06,4,1,12,13,0,4,1,1,0.3,0.3333,0.39,0,33,212,245
14879,2012-09-17,3,1,9,3,0,1,1,1,0.5,0.4848,0.77,0.0896,0,7,7
6828,2011-10-17,4,0,10,1,0,1,1,1,0.56,0.5303,0.54,0.3881,2,15,17
12068,2012-05-23,2,1,5,0,0,3,1,1,0.62,0.5909,0.78,0.1343,19,28,47
8460,2011-12-24,1,0,12,3,0,6,0,2,0.32,0.3333,0.7,0.0896,0,5,5
12494,2012-06-09,2,1,6,18,0,6,0,1,0.82,0.697,0.24,0.2239,175,276,451
9686,2012-02-13,1,1,2,12,0,1,1,1,0.28,0.2576,0.28,0.3284,7,111,118
13925,2012-08-08,3,1,8,9,0,3,1,2,0.76,0.7273,0.66,0,33,308,341
11046,2012-04-10,2,1,4,9,0,2,1,1,0.42,0.4242,0.67,0.194,16,303,319
7195,2011-11-01,4,0,11,9,0,2,1,1,0.4,0.4091,0.66,0.1642,16,206,222
2249,2011-04-08,2,0,4,13,0,5,1,3,0.36,0.3333,0.76,0.2836,7,35,42
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17
11938,2012-05-17,2,1,5,14,0,4,1,1,0.64,0.6212,0.38,0.194,68,202,270
12268,2012-05-31,2,1,5,8,0,4,1,1,0.62,0.6212,0.57,0.2537,18,675,693
16349,2012-11-18,4,1,11,22,0,0,0,2,0.36,0.3333,0.66,0.2537,8,66,74
9516,2012-02-06,1,1,2,10,0,1,1,1,0.22,0.2424,0.75,0.1045,20,96,116
6045,2011-09-14,3,0,9,10,0,3,1,1,0.7,0.6515,0.7,0.1343,27,115,142
4168,2011-06-27,3,0,6,13,0,1,1,2,0.72,0.6667,0.58,0.2239,37,127,164
16461,2012-11-23,4,1,11,14,0,5,1,1,0.5,0.4848,0.36,0.2537,240,195,435
8912,2012-01-12,1,1,1,4,0,4,1,3,0.36,0.3485,0.93,0.194,0,2,2
10531,2012-03-19,1,1,3,21,0,1,1,1,0.6,0.6061,0.64,0.1642,33,190,223
12947,2012-06-28,3,1,6,15,0,4,1,1,0.86,0.7273,0.25,0.3284,24,195,219
8242,2011-12-15,4,0,12,1,0,4,1,2,0.32,0.3182,0.7,0.1642,5,15,20
6042,2011-09-14,3,0,9,7,0,3,1,1,0.6,0.5606,0.83,0.1045,20,350,370
15741,2012-10-23,4,1,10,1,0,2,1,1,0.46,0.4545,0.77,0.1642,1,16,17
5230,2011-08-10,3,0,8,19,0,3,1,1,0.8,0.697,0.26,0.2537,79,334,413
14085,2012-08-15,3,1,8,1,0,3,1,1,0.7,0.6515,0.61,0,6,31,37
12116,2012-05-25,2,1,5,0,0,5,1,1,0.62,0.5758,0.83,0.1343,10,63,73
6624,2011-10-08,4,0,10,13,0,6,0,1,0.62,0.6212,0.46,0.1045,256,229,485
9201,2012-01-24,1,1,1,6,0,2,1,2,0.32,0.3182,0.93,0.194,1,88,89
10256,2012-03-08,1,1,3,9,0,4,1,1,0.46,0.4545,0.72,0.4627,19,282,301
393,2011-01-17,1,0,1,20,1,1,0,3,0.16,0.1515,0.8,0.194,4,29,33
13487,2012-07-21,3,1,7,3,0,6,0,3,0.6,0.5455,0.88,0.2537,7,18,25
9225,2012-01-25,1,1,1,6,0,3,1,1,0.24,0.2273,0.73,0.2239,1,87,88
3418,2011-05-27,2,0,5,7,0,5,1,1,0.64,0.6061,0.73,0.1642,20,229,249
12747,2012-06-20,2,1,6,7,0,3,1,2,0.66,0.5909,0.89,0,20,444,464
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37
