mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
31,4,71,65,1773,19,71,3,"""toyota corolla 1200"""
14,8,351,153,4154,13.5,71,1,"""ford galaxie 500"""
29.5,4,97,71,1825,12.2,76,2,"""volkswagen rabbit"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
28.1,4,141,80,3230,20.4,81,2,"""peugeot 505s turbo diesel"""
31,4,119,82,2720,19.4,82,1,"""chevy s-10"""
13,8,350,165,4274,12,72,1,"""chevrolet impala"""
31,4,71,65,1773,19,71,3,"""toyota corolla 1200"""
27.4,4,121,80,2670,15,79,1,"""amc spirit dl"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
14,8,351,153,4154,13.5,71,1,"""ford galaxie 500"""
28.1,4,141,80,3230,20.4,81,2,"""peugeot 505s turbo diesel"""
37.3,4,91,69,2130,14.7,79,2,"""fiat strada custom"""
13,8,360,175,3821,11,73,1,"""amc ambassador brougham"""
17.5,8,305,140,4215,13,76,1,"""chevrolet chevelle malibu classic"""
14,8,351,153,4154,13.5,71,1,"""ford galaxie 500"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
14,8,304,150,4257,15.5,74,1,"""amc matador (sw)"""
37,4,119,92,2434,15,80,3,"""datsun 510 hatchback"""
23.7,3,70,100,2420,12.5,80,3,"""mazda rx-7 gs"""
15.5,8,351,142,4054,14.3,79,1,"""ford country squire (sw)"""
35.7,4,98,80,1915,14.4,79,1,"""dodge colt hatchback custom"""
14,8,304,150,4257,15.5,74,1,"""amc matador (sw)"""
27,4,101,83,2202,15.3,76,2,"""renault 12tl"""
25,4,97.5,80,2126,17,72,1,"""dodge colt hardtop"""
21.5,3,80,110,2720,13.5,77,3,"""mazda rx-4"""
23.9,8,260,90,3420,22.2,79,1,"""oldsmobile cutlass salon brougham"""
33.5,4,85,70,1945,16.8,77,3,"""datsun f-10 hatchback"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
37.2,4,86,65,2019,16.4,80,3,"""datsun 310"""
29,4,98,83,2219,16.5,74,2,"""audi fox"""
13,8,350,145,3988,13,73,1,"""chevrolet malibu"""
34.1,4,91,68,1985,16,81,3,"""mazda glc 4"""
25,4,90,71,2223,16.5,75,2,"""volkswagen dasher"""
