id,age,employer_type,education,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,salary_over_50k
4746,49,Private,HS-Graduate,Married,Blue-Collar,Wife,Black,Female,0,0,40,0
4747,37,Private,Bachelors,Married,Professional,Husband,White,Male,0,0,40,1
4749,55,Private,HS-Graduate,Married,Service,Other-relative,White,Female,0,0,33,0
4752,31,Private,HS-Graduate,Never-Married,Admin,Unmarried,Black,Female,0,0,39,0
7797,39,Private,HS-Graduate,Not-Married,Blue-Collar,Not-in-family,White,Female,0,0,25,0
7798,29,Self-Employed,HS-Graduate,Not-Married,Admin,Unmarried,White,Female,0,0,50,0
7800,23,Private,Dropout,Never-Married,Blue-Collar,Other-relative,White,Male,0,0,35,0
7801,25,Private,Dropout,Never-Married,Admin,Unmarried,White,Female,0,0,40,0
7805,54,Self-Employed,Bachelors,Not-Married,White-Collar,Not-in-family,White,Male,99999,0,70,1
7806,41,Other-Govt,Masters,Married,Professional,Husband,White,Male,0,0,50,0
7808,38,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,0,0,60,1
7809,24,Self-Employed,Bachelors,Married,Sales,Husband,White,Male,0,0,45,0
7810,23,Private,HS-Graduate,Never-Married,Blue-Collar,Unmarried,White,Male,0,0,40,0
7813,40,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,0,0,40,0
7814,36,Private,HS-Graduate,Not-Married,Other,Not-in-family,White,Female,0,0,40,0
7816,43,Private,Dropout,Not-Married,Sales,Unmarried,White,Female,0,0,25,0
7817,34,Private,HS-Graduate,Not-Married,Other,Unmarried,Black,Female,0,0,40,0
7819,35,Private,HS-Graduate,Married,White-Collar,Wife,White,Female,0,0,45,0
7821,36,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,4386,0,40,1
7822,33,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,0,0,40,0
7825,26,Other-Govt,Masters,Never-Married,Professional,Not-in-family,White,Female,0,0,40,0
7826,27,Self-Employed,HS-Graduate,Married,Blue-Collar,Own-child,White,Male,0,0,40,0
7827,26,Private,Masters,Never-Married,White-Collar,Not-in-family,White,Male,0,0,48,0
7829,38,Private,HS-Graduate,Not-Married,White-Collar,Unmarried,White,Female,0,0,40,0
7830,64,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,40,0
7832,27,Federal-Govt,HS-Graduate,Never-Married,Blue-Collar,Own-child,White,Male,0,0,40,0
7835,32,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,0,0,40,0
7837,37,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,0,0,40,1
7839,35,Other-Govt,Doctorate,Never-Married,Professional,Not-in-family,White,Male,0,0,55,0
7841,47,Self-Employed,Bachelors,Not-Married,Service,Not-in-family,White,Female,0,0,40,0
7843,31,Self-Employed,Masters,Not-Married,Professional,Not-in-family,White,Male,0,1590,60,0
7845,23,Private,Dropout,Never-Married,Sales,Own-child,White,Female,0,0,20,0
7846,53,Private,HS-Graduate,Married,Service,Husband,White,Male,0,0,40,0
7847,36,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,0,0,40,1
7848,75,Private,HS-Graduate,Widowed,Admin,Not-in-family,White,Female,0,0,25,0
7850,25,Private,Associates,Never-Married,Blue-Collar,Own-child,White,Male,0,0,40,0
7856,19,Private,HS-Graduate,Never-Married,Blue-Collar,Not-in-family,Black,Male,0,0,20,0
7857,41,Private,Prof-School,Married,Professional,Husband,White,Male,0,0,46,1
7858,18,Private,Dropout,Never-Married,Service,Own-child,White,Female,0,0,16,0
7859,42,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,0,0,40,0
7863,45,Private,HS-Graduate,Not-Married,White-Collar,Unmarried,White,Female,0,0,30,0
7865,65,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,0,2246,40,1
7867,21,Private,HS-Graduate,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,40,0
7868,41,Self-Employed,HS-Graduate,Married,Blue-Collar,Husband,White,Male,0,0,30,0
7869,35,Other-Govt,Bachelors,Never-Married,Professional,Not-in-family,White,Female,0,1876,45,0
7870,49,Private,HS-Graduate,Not-Married,Blue-Collar,Unmarried,Black,Male,0,0,40,0
7874,49,Private,HS-Graduate,Married,Blue-Collar,Husband,Black,Male,0,0,48,1
7878,32,Other-Govt,HS-Graduate,Never-Married,Blue-Collar,Own-child,White,Male,0,0,20,0
7879,43,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,0,0,44,1
7880,29,Private,HS-Graduate,Not-Married,Blue-Collar,Not-in-family,White,Male,0,0,40,0
7881,46,Private,Masters,Married,Professional,Husband,White,Male,15024,0,50,1
7882,65,NULL,Dropout,Married,NULL,Husband,White,Male,0,0,10,0
7883,31,Private,HS-Graduate,Married,Admin,Husband,Native American,Male,0,0,40,0
7884,24,Private,HS-Graduate,Never-Married,Blue-Collar,Not-in-family,White,Female,0,0,40,0
7885,32,Private,HS-Graduate,Never-Married,Admin,Own-child,White,Female,0,0,38,0
7886,25,Private,HS-Graduate,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,40,0
7887,28,Private,HS-Graduate,Never-Married,Blue-Collar,Not-in-family,Black,Male,0,0,40,0
7890,33,Private,HS-Graduate,Never-Married,White-Collar,Not-in-family,White,Male,0,0,32,0
7891,46,Private,Associates,Married,Other,Husband,White,Male,0,1977,50,1
1,38,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,0,0,50,0
3,44,Private,HS-Graduate,Married,Blue-Collar,Husband,Black,Male,7688,0,40,1
5,34,Private,Dropout,Never-Married,Service,Not-in-family,White,Male,0,0,30,0
6,29,NULL,HS-Graduate,Never-Married,NULL,Unmarried,Black,Male,0,0,40,0
8,24,Private,HS-Graduate,Never-Married,Service,Unmarried,White,Female,0,0,40,0
9,55,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,10,0
11,36,Federal-Govt,Bachelors,Married,Admin,Husband,White,Male,0,0,40,0
12,26,Private,HS-Graduate,Never-Married,Admin,Not-in-family,White,Female,0,0,39,0
13,58,NULL,HS-Graduate,Married,NULL,Husband,White,Male,0,0,35,0
15,43,Private,Masters,Married,White-Collar,Husband,White,Male,0,0,50,1
16,20,Other-Govt,HS-Graduate,Never-Married,Service,Own-child,White,Male,0,0,25,0
17,43,Private,HS-Graduate,Married,Admin,Wife,White,Female,0,0,30,0
18,37,Private,HS-Graduate,Widowed,Blue-Collar,Unmarried,White,Female,0,0,20,0
19,40,Private,Doctorate,Married,Professional,Husband,Asian,Male,0,0,45,1
20,34,Private,Bachelors,Married,Other,Husband,White,Male,0,0,47,1
21,34,Private,HS-Graduate,Never-Married,Service,Own-child,Black,Female,0,0,35,0
23,25,Private,Bachelors,Never-Married,Professional,Not-in-family,White,Male,0,0,43,0
24,25,Private,Bachelors,Married,Professional,Husband,White,Male,0,0,40,0
25,45,Self-Employed,HS-Graduate,Married,Blue-Collar,Husband,White,Male,7298,0,90,1
26,22,Private,HS-Graduate,Never-Married,Admin,Own-child,White,Male,0,0,20,0
27,23,Private,HS-Graduate,Not-Married,Blue-Collar,Unmarried,Black,Male,0,0,54,0
28,54,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,0,0,35,0
29,32,Self-Employed,HS-Graduate,Never-Married,Professional,Not-in-family,White,Male,0,0,60,0
31,56,Self-Employed,Dropout,Widowed,Service,Unmarried,White,Female,0,0,50,0
33,23,Other-Govt,HS-Graduate,Married,Other,Husband,White,Male,0,0,40,0
34,26,Private,HS-Graduate,Not-Married,White-Collar,Unmarried,White,Female,0,0,40,0
37,22,Private,Dropout,Never-Married,Service,Not-in-family,White,Male,0,0,50,0
38,17,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,40,0
39,20,Private,HS-Graduate,Never-Married,Blue-Collar,Own-child,White,Male,0,0,40,0
40,65,Private,Masters,Married,Professional,Husband,White,Male,0,0,50,1
41,44,Self-Employed,Associates,Married,Sales,Husband,White,Male,0,0,45,1
42,36,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,0,0,40,0
43,29,Private,Dropout,Married,Service,Husband,White,Male,0,0,40,0
44,20,Other-Govt,HS-Graduate,Never-Married,Blue-Collar,Own-child,White,Male,0,0,32,0
46,39,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,40,0
47,54,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,3908,0,50,0
6936,50,Private,Bachelors,Married,Sales,Husband,White,Male,0,0,45,1
6937,25,Private,HS-Graduate,Never-Married,Sales,Unmarried,White,Female,0,0,40,0
6939,51,Private,HS-Graduate,Married,White-Collar,Husband,White,Male,0,0,40,1
6940,52,Other-Govt,HS-Graduate,Married,Professional,Husband,White,Male,0,0,40,0
6941,55,NULL,Dropout,Widowed,NULL,Not-in-family,White,Female,0,0,45,0
4183,29,Private,Dropout,Not-Married,Blue-Collar,Unmarried,White,Male,0,0,40,0
4184,41,Private,HS-Graduate,Married,White-Collar,Husband,Native American,Male,0,0,40,1
4187,30,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,40,0
4189,37,Private,Bachelors,Never-Married,Admin,Own-child,Black,Female,0,0,32,0
4190,46,Private,Dropout,Widowed,Blue-Collar,Not-in-family,Black,Male,0,0,40,0
4191,46,Private,Dropout,Not-Married,Service,Not-in-family,White,Female,0,0,40,0
4192,30,Private,Bachelors,Married,Professional,Husband,White,Male,0,0,50,1
4193,27,Private,Bachelors,Never-Married,Professional,Not-in-family,White,Male,0,0,50,0
4194,25,Private,HS-Graduate,Never-Married,Blue-Collar,Other-relative,Black,Female,0,0,43,0
4197,18,Private,HS-Graduate,Never-Married,White-Collar,Not-in-family,White,Female,0,0,30,0
4198,46,Other-Govt,Dropout,Married,Blue-Collar,Husband,Black,Male,0,0,40,0
4200,25,Private,Bachelors,Never-Married,Professional,Not-in-family,White,Male,0,0,60,0
4202,50,Private,Masters,Married,White-Collar,Husband,White,Male,0,0,40,1
