norm,chi,logistic,beta,gamma,bimodal,uniform
1171.84473579,2474.25051037,12934.3560238,233.861358547,1810.57736722,1027.35390288,633.583297878
-75.9960101059,3118.73507267,10346.8863711,890.3731487,2845.59955555,893.663817311,761.909555406
-225.526881625,2663.84159144,9867.07184846,410.069579229,4985.74425332,436.908401508,645.558716184
-1101.89857916,4534.01391769,11225.7978257,994.737832737,3080.80339122,1149.69467119,286.135301455
1615.90424793,4396.53404765,8271.26334364,454.72653448,1983.20308018,1926.64122078,587.09587649
1483.70016644,1220.66633846,11789.9651523,165.405658419,2381.01353866,1236.83009607,554.49319845
-830.376906135,5852.12398249,10773.2956297,56.5900616712,6468.0605699,1975.59250724,934.334455972
-848.229128938,3712.95318119,9928.3446314,301.586702783,2932.32079046,1916.48131438,677.408425668
-1345.23187538,1984.22183074,9494.37070507,554.843541363,2376.85254055,1228.77300633,326.666023643
1886.51737695,4213.8160652,11784.0233629,31.3979871286,4831.47843794,988.805056171,633.886750119
1210.99389139,7920.36251634,15345.7422301,787.819308976,4462.2798323,1008.39684707,682.084979298
-17.2877099888,5499.63224492,8922.31628382,303.231043748,3440.14557819,972.735709577,326.403361092
473.943507067,5554.9709268,9407.60473263,300.96348504,1989.4864132,1312.74217251,810.097784379
283.901453077,3167.17659549,7197.74536652,561.443194738,2870.21767523,2192.36549963,231.647263254
573.552599375,1333.28821938,12026.775911,844.862916028,5267.06926761,672.810026006,392.412657901
1041.30373444,6294.34415113,11288.0483681,964.049994597,4300.83714557,791.804529686,16.7471340183
-1307.20324745,8790.61893898,9774.09148405,996.114657102,2034.0766814,2177.82894852,72.0044413489
785.112225743,2495.34653284,11306.1268249,914.949593862,5523.69389407,764.553977375,259.947202545
-471.118572288,8623.82736696,9718.17218496,287.350779651,4012.84594134,1957.04366449,869.600211028
-609.262316717,5645.72231933,11213.6382003,598.906016575,9951.40622887,1677.05254169,449.72449846
-847.606590717,3553.96973174,8009.09453042,453.411782,2424.03211577,1117.47045769,320.628312019
839.153739344,4237.01697289,9880.71580121,380.222979852,2519.47921732,1766.40507155,659.115740598
-470.906183652,361.513628938,7414.98565802,836.639094695,4157.46153947,1053.46045412,474.599482491
-339.281364401,4617.02494092,10381.5806017,29.0870936471,7166.86905203,1783.12510171,831.870580468
119.718233182,612.384635855,10967.8200904,171.521422618,2856.11326137,734.941907177,277.381045422
-1218.43221653,1695.99239494,9252.14601774,605.435626988,6136.1744873,1192.71093177,868.421880667
-675.903859766,4528.70153389,10408.8815469,113.724751368,2720.75122852,963.186149103,886.132279396
1107.98000811,2174.4598449,12873.9389587,730.212000684,5589.84313294,2035.72221335,630.89309999
917.554062996,6638.28905884,9512.95403781,778.251669282,7722.18033576,1081.38385148,607.907239108
-867.056717581,4670.42442383,8271.62930367,106.41670617,1301.21411766,2153.58016086,344.903035436
-601.36077731,6910.38549508,11978.4145992,33.4896667135,1624.21324207,895.980016394,28.0587752266
-697.888104746,239.06335316,12359.1292161,423.683350266,3632.69737046,1259.24547442,752.20902698
572.248073815,4518.6983425,11574.3865211,997.602067344,2626.40282043,1278.36510248,394.899222252
1141.12027797,401.406870993,12196.8478741,109.131169509,1990.7545496,1053.81521605,286.806499226
1272.69299639,712.284532005,9435.99176332,162.300421131,1532.09266188,1147.68695867,844.462639088
161.768173005,5909.85923177,12065.6917342,233.69791402,5969.26041949,1076.44546922,804.346198582
-231.967939777,6643.58412389,11932.6758689,694.195650176,3238.25310918,946.347608561,28.4496767548
-880.394577303,7785.11249692,13169.3188055,3.17676347039,6373.24557612,1373.70256479,418.10681085
-1672.97908341,3503.71119766,10181.4121768,996.958085954,4322.91051821,2022.19905098,746.89050524
570.445318946,1955.46473022,11008.4737627,992.510993445,4105.83301321,2289.88445405,466.493369656
973.64964959,10607.1447177,11049.2669731,688.099344071,5009.46416812,858.598990854,614.44857741
340.514129974,3742.79732422,11188.7107027,167.024242366,4000.29751081,2064.76099555,181.963885628
512.809741829,2443.30906001,9555.99335614,728.035265255,1442.12960855,892.54889671,828.730263461
-1609.56177153,564.918762003,12045.1446355,561.826004525,3932.64977022,954.739544754,332.113066584
207.173878206,7924.95708228,7866.56026063,95.6380519426,2094.73473353,2217.24168956,372.019669399
-855.711868054,982.98747716,10404.9407024,687.68610888,8114.69692958,1062.25936207,76.6897220717
-724.698216488,1893.46666187,10560.6280302,211.270815964,3926.03480513,1437.71853535,371.946593168
1396.29956346,2371.61593026,5283.22223902,24.9521250284,1241.82269187,1243.84955052,118.624170696
-1002.27804961,3317.64821888,11190.4471557,492.997286468,3063.29518061,886.307412211,789.659390498
-533.716474026,3063.56922409,8106.60130111,949.650346436,5236.76480298,1139.55444919,430.688508271
-68.4453986181,5143.73713967,9374.87662956,680.936610766,3265.33596494,1807.41188623,285.454143424
-1175.60905145,1655.13491955,9060.9159498,0.951488618733,1833.39113771,1160.86237159,970.466167695
926.313387859,10137.2229996,11794.2782838,782.66534213,2478.6215238,1348.19756016,992.569705636
-1482.68996964,2078.95166816,9775.81975009,993.061645491,4091.52955646,2142.8033837,984.646050994
1020.83897112,1887.79246938,10242.0317648,463.771228291,4988.66460565,2378.00530966,681.435898085
1149.40944697,537.522177179,8935.11471051,278.13290703,2216.9553288,869.356036198,399.559671285
-403.252135483,5895.94160037,13593.973187,382.83528658,1137.36490659,758.542129775,806.952842759
1480.91130005,2830.54733798,12792.5833599,929.066684635,3854.48177546,843.073291776,849.448536567
17.87559436,4158.48138558,9537.21102382,657.64047522,2625.80076144,1185.20636129,367.568539739
-1204.21795935,1167.61941665,10406.2982614,116.894369909,2623.11131717,1033.20030935,897.10873486
232.969573571,1502.55545556,11642.8617676,948.206372926,2475.72716338,680.952195857,929.065433331
453.866851949,7456.05999898,9573.20140645,985.936328229,5156.00700016,1271.72398723,945.331289544
2028.69865547,4153.13548954,8821.92245424,996.92770887,2076.09278753,1098.45278051,501.680613113
1145.9864686,7012.31319931,9029.9338395,14.8030075496,1844.58771221,744.408415013,778.0141805
212.213939255,163.631734017,9584.32943305,123.446179031,2063.22722191,1247.51154182,897.187710431
-1448.36958832,2654.72398965,10105.490168,346.124709109,1671.52878664,1248.74116201,570.820487722
-1467.17976214,1054.20403128,9916.46244364,432.884310692,3898.06504879,853.063931847,989.530655822
-571.254024221,6983.59149651,9668.86118295,183.865986687,3392.50925814,746.691539782,17.8013944915
-401.700149151,119.402626668,8176.14391237,312.555518387,8482.85853222,871.098110101,816.618873585
-1367.2909523,1273.55009262,7862.69926279,7.74442001707,1871.57589664,1052.78116265,467.700399397
247.780526444,5030.2537939,11856.4307008,829.90593024,4472.29366693,877.181339724,960.630437674
474.49675353,13877.1582749,9152.47818808,379.439473342,4314.97142275,1142.56117688,740.3564549
176.449630775,4677.32137587,16320.7203916,774.422033457,4932.06830603,2106.97538469,369.63208585
-342.547463003,3218.29026437,9415.31759226,183.96792584,2235.78097739,917.806880837,765.901780889
2195.83611855,2824.56394525,9185.56903556,318.437634986,3070.50123982,2090.67795277,733.242518579
-946.950846088,2610.75238667,10818.9775574,696.43172885,6829.69594596,1053.40977455,157.993453062
567.046744136,3064.29990833,9186.52613081,106.154302277,4707.578038,1135.98751453,467.630035099
-408.772478891,10913.7848714,14382.3552608,535.562858203,5486.71642916,931.021034884,410.932073966
-465.595485652,3709.86077929,8711.43499095,444.243807047,2844.08011139,1537.28998938,698.796788439
-790.390198599,2325.55577049,10456.8140185,1.44513253152,3457.63435888,1043.50165246,332.835499793
228.882357703,12213.0373431,9247.62316951,152.350377621,3163.55343475,996.797351727,631.651457927
-884.666366677,3561.42973339,7451.88342215,504.922696076,4983.25411681,1949.53548214,14.0071931866
-7.03715394206,7247.5761256,9575.53965698,6.729328193,3753.24545252,2047.80720923,790.107853012
-728.633331155,4199.37050288,5710.8402357,129.116424748,3227.76445997,764.625482514,387.669548794
2031.31110625,6934.17779468,8159.70216914,568.719762628,3592.81953366,634.76139774,79.0998713621
-915.846060766,5784.89360649,13369.7360796,387.22946303,3173.26961867,1515.04161202,566.413606339
-554.20721658,1312.73249105,8015.76918609,3.00338175261,3832.04604307,847.833609827,535.18931246
-40.2389188394,414.894228443,11430.0453017,554.286946156,3353.00604173,1940.35778795,66.2449343064
1247.26319982,3935.97513174,8344.79902448,42.1770396916,2700.04248242,1193.0030226,277.24170054
-389.369820528,4098.1361362,8859.51173811,944.258699821,2099.59379375,1224.69103783,105.404224741
-656.886340756,6007.26943792,10131.5649775,66.6126312328,6754.72436588,1961.70097568,131.930087249
-356.565235072,2571.27851135,8543.70611816,798.864464224,2816.30444355,984.844172282,428.335647922
405.328058839,5805.01472873,9759.64189496,686.99976386,4520.15098319,1974.15903893,733.507499529
-648.857106742,3379.93468045,14838.630398,412.067531506,3848.35715584,2407.34555492,884.857396356
-1652.85944328,4216.45682675,8134.59083601,82.3859811395,3549.43976498,575.538279515,323.197793749
909.588272389,1897.14651707,10974.1306323,805.495444842,3105.66478061,1929.94451794,43.1324724826
356.70939579,8531.8223178,9059.81919523,747.241659031,3201.8500391,1170.02192057,169.712307903
859.801860109,7397.61247858,8811.76428438,656.415962175,4842.04504013,735.965722538,857.16704646
-935.928203157,3792.23872286,10322.1273116,226.196484459,2294.58897843,1017.86926267,804.907697652
-820.878633666,2089.23378031,11246.1730885,681.618431472,3573.26128503,2180.23971132,157.672316591
1262.34604916,4655.90876347,11231.0577047,4.03133557858,5145.98415143,1895.68198343,306.866137352
1540.5115322,6387.08813449,10768.1530509,314.534287056,4026.48891359,1393.00432183,646.620339569
-1182.64608669,2256.79426641,9697.53135227,17.7699657781,3760.97942602,723.334175761,925.164201148
1917.13281105,5010.94976726,10030.243665,866.694075874,3532.60153287,1027.93368376,278.57934238
-1475.61438491,1469.60414947,7639.24518785,980.892208478,3684.29626685,1161.1577462,749.950192559
432.013028946,3287.37149376,11876.0542498,4.48066521759,3082.62676463,785.827405478,179.691960961
-1518.57587094,969.854493577,10931.8700784,313.964889696,680.137892635,1295.86649547,140.721937708
754.547951779,2589.22230236,8089.99267095,507.782616126,2757.10495698,918.440212229,219.632349804
1183.43563259,5871.81408787,11456.8768953,306.905871839,4321.13845032,841.044879828,640.509476741
129.279785095,2073.23513164,11673.1030572,0.425916001295,3868.99834562,1302.66860681,457.971379502
-1206.47662289,1647.31249461,9353.9889066,602.737654922,3926.54057257,1159.99443221,204.384672695
1092.03848756,2052.19369092,9530.74894278,38.9468205342,995.716623145,904.833788044,97.6111788658
1407.49208497,3392.76639095,11363.3826618,198.990774426,4464.32625726,840.127352963,709.17981752
-554.219622053,6302.11613181,9117.30720977,174.218546506,5749.30804696,1153.38328195,324.801520777
-186.404453676,7106.16784919,11003.9912378,907.695593972,4478.58321118,630.411879629,215.535158013
133.397127593,4379.31774959,9342.88689794,5.82374090847,2512.11113209,1066.92733311,890.540028567
913.355799443,1149.73542816,13493.8071393,154.854428738,3511.49430751,1107.7325444,211.829835386
1131.46264871,3358.48807029,10855.133251,741.902087779,2457.96304357,845.347530174,624.230572644
684.330492614,1924.79285048,12020.5606273,924.908836991,1747.69654278,1135.93925135,399.789753485
1903.56070245,5450.29396768,10133.6874998,25.416242986,2474.93558784,987.367686004,237.275002619
-25.737599707,183.150733994,9015.07887565,300.37402325,3475.62074961,683.726633077,346.456996371
78.3873728198,4303.43114861,8518.51799731,292.422500728,4305.52281909,1307.42451678,491.918626294
-165.624713012,3237.06097385,10799.6491824,633.043875491,4751.31838048,660.024850524,728.081936104
-887.190924117,5680.88647573,10246.2120277,793.068058654,6918.64964331,2048.14518607,70.9068572776
-513.793948667,588.740161445,12455.7905268,486.653290539,1532.69170696,1776.4168787,158.225247311
-493.881730505,980.227865876,7061.75667901,5.87952982103,3304.97582675,956.313102804,161.160130229
-572.197903823,1727.17393633,6019.16389105,975.433918473,2908.53793326,841.918650983,774.496598233
1442.66756428,999.076883789,9933.16593072,872.265384127,1897.25148665,806.89329058,970.10741638
-841.570995665,162.168784327,11775.0689328,611.645630587,3126.55848196,1029.34916656,602.566971339
-1082.57544565,5490.58878477,8001.39010914,208.356122497,3018.1392039,2000.80829995,831.112060658
402.715957918,1273.62902734,13878.5987691,390.391449726,3231.16096863,1057.52675945,461.420046172
281.432435206,2619.88766508,9168.0181124,979.027232953,3981.38578641,1037.94857281,665.348879173
425.999173825,4893.51922285,11559.1064787,14.822338142,4266.5316996,793.204531791,806.164423438
1201.03348563,7106.24274038,12033.2750177,818.330032529,3043.44946044,728.444190284,193.185323542
1964.92690074,1273.98424168,10618.4290509,120.046298599,3953.12072013,711.134657656,489.253857147
529.846514733,2016.50733038,9017.10810619,176.200789224,6350.51598692,2127.33971273,979.720174303
376.329421608,4730.99576696,10078.5418605,921.24802201,2667.30311759,1528.59370504,650.527924363
-780.62191298,2409.40767587,9518.4989652,187.88848058,2854.87092473,839.49366088,843.408247845
-1251.62045274,3028.14230199,10721.8729729,136.463511733,1751.57505898,2226.26721659,58.733820089
9.33890249038,2544.87717734,13196.2880538,966.151130251,3985.30774127,1258.52779146,543.500977285
267.739308096,6369.26824435,11183.5515296,0.176363145258,4648.22148138,1279.49693802,920.794223502
-216.531669903,2027.73139639,9082.38214219,442.666868885,2144.62383283,709.475674594,805.493957848
69.466233326,8572.71735494,12193.7484747,2.57090264274,2397.99082639,1055.44280971,241.949901868
386.936312531,698.034377149,13928.0503268,978.678619198,2775.00074563,1123.55283037,827.119437723
-165.002646647,7567.45119307,12357.686035,945.504493473,4521.71149835,978.608769525,663.053926047
-51.2405333785,10418.3084884,9667.55013679,856.660345564,1910.97307785,1958.31505377,412.68521677
-745.583541185,1600.78135867,10405.9490906,3.67101179852,1401.84790818,2044.71992443,974.339840472
-565.89434622,4972.14076445,10229.7790559,366.858801458,3973.13631284,880.295584586,922.538862363
456.315792461,2164.3292353,9930.75655136,125.939394473,3731.36784931,768.105008538,754.25206422
-2032.85657484,3385.35296265,9638.06259115,0.431027016956,4422.29623851,2144.12890425,252.934126123
-902.988118868,1643.85776766,11026.9690193,959.441608746,2311.45015702,2099.15527409,90.8563934591
-411.716094809,2120.16232975,11772.0237584,3.94315444807,5087.50208446,1212.77208284,316.645596044
-415.944085777,1870.48354652,7683.69852186,370.636015707,4381.90970048,1108.52459157,250.281831632
-385.536013261,4058.29170103,6939.31472833,6.13485163586,2222.9608824,1938.84583006,204.164807115
132.840609619,2098.07758576,12760.1735932,434.800355592,4757.58598416,685.82663054,79.5397621883
-1479.54858308,1557.6480609,9760.28506755,185.196966249,3225.11842746,691.931925291,486.676167152
-1083.22547167,2829.24057144,7191.93319831,232.420416628,2847.86834801,1171.93757343,714.275925812
-1847.2537955,6696.08326714,10837.6205709,380.698150415,4524.62434696,1703.25918167,339.554297034
963.199309271,3032.52954096,10657.0900093,747.878617147,3447.13856078,1081.08857973,450.392923478
1008.99744258,5731.84004323,11470.4055898,359.644158584,4301.23815028,1023.7948015,456.912550503
1130.35138709,2593.31794802,8145.67697832,754.466938071,3649.63605476,996.605880168,798.56457386
755.588007841,1104.77599998,12115.6930754,878.203104841,3284.42477019,2192.24515087,529.689487416
-113.801188704,5390.27215608,12042.0803954,598.643599409,2437.13070058,1008.9019157,473.564231794
-661.868082178,2049.53958334,8799.61295826,591.315883692,2886.66144835,2074.86347358,662.629634451
-262.68859576,2021.52290614,11169.8597101,695.318547881,2221.28998561,992.963707349,395.499629583
538.330862001,3779.2066196,11636.8050339,123.730296943,3526.4830837,843.42424272,899.598629591
125.706455451,1115.0603187,11841.4602996,562.12000909,3467.7157263,1029.5953917,236.033562146
-353.848627792,2387.02058969,8413.13837962,992.966153133,4186.70021931,965.644285327,145.897103894
889.489838128,7397.55275497,8357.52360577,873.559780025,2336.33876498,1034.57881979,502.875989916
-380.07518422,1147.78810682,13142.5126035,667.356191356,2490.96555096,940.940501396,518.967193889
-186.877143057,1223.91228495,11529.8726054,740.432134056,5005.87784893,2426.95922797,687.353543828
-128.506756763,3621.39306983,12610.9413088,75.1594255574,2763.79675995,846.03700084,817.658279092
1557.72575741,9419.43373952,9468.18009906,186.22829132,5811.83604913,823.9389829,737.650596401
-77.919861439,658.870651711,8850.6938047,127.845630155,2035.82824934,1819.25559198,436.053561079
550.886679535,2154.11672677,11270.426149,267.101757266,5051.07850468,1305.05272554,985.678479324
-899.055678887,1579.22080452,10495.5302929,902.985850296,4415.04825337,1106.7080287,218.168934747
-38.2088139962,7071.95463132,9153.99823014,342.703186834,4408.84498051,2102.65017269,319.289690493
114.690273143,994.77323744,12501.2234148,0.333851456725,1647.52335567,1147.45493817,881.674011859
1677.87719669,1143.24953307,7053.8319216,266.828640978,1670.71068406,1082.60695997,364.172604841
437.939460968,5702.30905358,14405.0020896,188.990230935,4262.54936317,2117.25731771,541.373087231
1556.3495776,2906.40605204,7814.39322715,892.87267818,2020.82314745,985.150076762,579.423129366
257.131310514,1946.89985232,9196.63051688,957.994836662,3695.82916894,849.545325708,906.856152229
166.87680004,3711.922283,12959.8572816,0.300263966296,2910.38618377,1086.91197201,3.20600057123
1428.30582144,5053.79736581,11215.7130848,9.0517755979,3108.98330675,1045.5452395,17.1261514022
-869.473183434,4488.03090153,11739.2947211,195.359412087,6033.43066097,1164.18421754,839.918277974
245.2776534,2452.59805521,10353.8104666,12.9766357823,4349.06026459,1243.35063489,276.873980121
274.239309861,4586.16707429,10657.2398092,557.699877883,2204.21389941,934.004586739,653.947123986
