passenger_class,survived,gender,age,siblings_spouses,parents_children,fare,embarked
3,0,male,32,1,0,15.85000038,UK
2,0,male,34,1,0,26,UK
2,1,female,48,0,2,36.75,UK
1,1,female,36,0,0,262.375,FR
2,1,female,50,0,1,26,UK
3,0,female,18,0,0,7.775000095,UK
3,0,female,16,5,2,46.90000153,UK
3,0,male,23,0,0,7.854199886,UK
3,0,male,51,0,0,8.050000191,UK
1,0,male,71,0,0,49.50419998,FR
3,0,male,,0,0,7.895800114,UK
3,0,female,30,0,0,7.629199982,IR
2,0,male,25,0,0,10.5,UK
1,1,female,19,0,2,26.2833004,UK
3,0,female,,1,2,23.45000076,UK
1,1,male,26,0,0,30,FR
2,0,male,28,0,0,13,UK
1,1,female,22,1,0,66.59999847,UK
3,0,male,,0,0,7.879199982,IR
2,1,female,12,2,1,39,UK
1,1,female,54,1,0,59.40000153,FR
2,1,male,1,0,2,37.00419998,FR
3,0,male,,0,0,7.25,UK
1,1,female,19,0,2,26.2833004,UK
3,1,male,,0,0,7.75,IR
3,1,female,22,0,0,8.962499619,UK
2,0,male,29,1,0,27.7208004,FR
2,1,male,20,0,0,13.86250019,FR
1,0,male,30,1,2,151.5500031,UK
1,1,female,64,1,1,26.54999924,UK
1,0,male,32.5,0,0,211.5,FR
3,0,male,16,0,0,8.050000191,UK
1,1,female,22,1,0,66.59999847,UK
3,0,male,39,0,0,24.14999962,UK
1,1,female,16,0,0,86.5,UK
2,0,male,16,0,0,10.5,UK
3,0,male,26,0,0,7.895800114,UK
1,1,male,,0,0,25.74169922,FR
3,0,female,18,0,0,7.775000095,UK
1,0,male,24,0,1,247.5207977,FR
2,0,male,21,1,0,11.5,UK
3,0,male,29,0,0,7.875,UK
1,1,female,19,1,0,91.07920074,FR
3,1,female,,0,0,7.779200077,IR
3,1,female,38,0,0,7.229199886,FR
3,1,female,22,0,0,7.75,IR
3,0,female,,0,0,7.75,IR
3,1,female,,0,0,7.75,IR
1,1,female,64,1,1,26.54999924,UK
3,1,female,24,0,2,16.70000076,UK
2,0,male,,0,0,10.70829964,IR
1,0,male,71,0,0,34.65420151,FR
3,0,male,36,0,0,0,UK
3,1,male,32,0,0,56.49580002,UK
2,1,female,29,1,0,26,UK
3,0,female,,1,0,14.45419979,FR
3,0,male,40.5,0,0,15.10000038,UK
1,0,male,45.5,0,0,28.5,UK
3,1,female,30,0,0,6.949999809,IR
3,0,male,,0,0,7.75,IR
3,0,female,,0,0,7.75,IR
3,0,female,18,0,0,6.75,IR
1,1,female,,1,0,51.86249924,UK
1,0,male,37,1,1,83.15830231,FR
3,0,male,24,0,0,7.895800114,UK
1,0,male,24,1,0,60,UK
1,1,male,6,0,2,134.5,FR
2,1,male,,0,0,13,UK
3,0,female,9,4,2,31.27499962,UK
1,0,male,,0,0,25.92499924,UK
1,1,male,40,0,0,31,FR
2,0,male,39,0,0,13,UK
1,1,female,21,2,2,262.375,FR
3,0,female,6,4,2,31.27499962,UK
3,0,male,,0,0,7.550000191,UK
1,1,female,52,1,0,78.26670074,FR
3,0,male,20,0,0,7.224999905,FR
1,1,female,,0,0,79.19999695,FR
3,1,female,4,0,2,22.02499962,UK
3,1,female,,0,0,7.879199982,IR
3,0,male,18,1,1,7.854199886,UK
3,0,male,16,0,0,9.5,UK
3,1,female,22,0,0,7.724999905,IR
3,1,female,,0,0,7.75,IR
3,0,male,,0,0,7.75,IR
2,0,male,,0,0,15.05000019,FR
1,0,male,46,0,0,26,UK
3,0,male,,0,0,7.229199886,FR
3,0,female,2,1,1,20.21249962,UK
3,1,male,,0,0,7.75,IR
3,1,female,,2,0,23.25,IR
1,1,female,18,1,0,53.09999847,UK
3,1,male,,1,1,22.35829926,FR
3,1,male,32,0,0,7.579199791,UK
3,0,male,22,0,0,7.125,UK
3,1,female,22,0,0,8.962499619,UK
2,0,male,34,1,0,26,UK
1,1,male,,0,0,25.74169922,FR
1,1,female,18,0,2,79.65000153,UK
2,1,female,,0,0,33,UK
2,1,female,29,1,0,26,UK
3,0,male,24,0,0,7.854199886,UK
3,0,male,19,0,0,7.775000095,UK
3,0,male,17,1,1,7.229199886,FR
3,0,male,28,0,0,7.25,UK
3,0,male,30,0,0,7.895800114,UK
2,0,male,38,1,0,21,UK
3,0,male,22,0,0,7.25,UK
1,1,female,,0,0,27.7208004,FR
1,0,male,24,0,0,79.19999695,FR
2,0,male,57,0,0,12.35000038,IR
2,1,female,41,0,1,19.5,UK
2,0,male,43,1,1,26.25,UK
2,0,male,,0,0,10.70829964,IR
3,1,female,31,0,0,8.683300018,UK
1,0,male,39,1,0,71.28330231,FR
3,1,male,29,0,0,7.895800114,FR
3,0,male,,0,0,7.895800114,UK
3,0,male,19,0,0,6.75,IR
3,0,male,,1,0,16.10000038,UK
3,1,female,31,1,1,20.52499962,UK
2,0,male,54,1,0,26,UK
3,0,male,22,0,0,7.125,UK
1,0,male,71,0,0,49.50419998,FR
2,0,male,31,1,1,26.25,UK
1,1,male,35,0,0,26.54999924,FR
3,0,male,26,0,0,7.775000095,UK
2,1,female,22,1,2,41.57920074,FR
3,0,female,37,0,0,7.75,IR
2,1,male,3,1,1,18.75,UK
3,1,female,,2,0,23.25,IR
2,1,female,15,0,2,39,UK
3,0,male,,0,0,7.895800114,UK
1,1,female,53,2,0,51.47919846,UK
1,0,male,64,0,0,26,UK
1,0,male,22,0,0,135.6333008,FR
2,0,male,47,0,0,15,UK
3,0,male,26,0,0,7.895800114,UK
3,0,male,22,0,0,7.895800114,UK
3,0,male,,0,0,7.25,UK
1,1,female,17,1,0,108.9000015,FR
2,0,female,30,0,0,13,UK
1,1,female,60,0,0,76.29170227,FR
3,0,male,28,0,0,9.5,UK
1,1,female,35,1,0,52,UK
3,0,male,40,1,6,46.90000153,UK
1,1,female,64,1,1,26.54999924,UK
3,1,female,22,1,0,13.89999962,UK
3,0,female,27,1,0,7.925000191,UK
1,0,male,28,0,0,47.09999847,UK
1,1,male,45,0,0,29.70000076,FR
2,0,male,18.5,0,0,13,UK
3,0,male,,0,0,56.49580002,UK
1,1,male,35,0,0,26.28750038,UK
1,1,male,35,0,0,26.54999924,FR
3,0,male,14,4,1,39.6875,UK
3,0,male,27,0,0,8.662500381,UK
2,0,male,23,2,1,11.5,UK
1,1,female,21,2,2,262.375,FR
3,0,male,,0,0,7.224999905,FR
3,1,male,,0,0,7.75,IR
2,0,male,,0,0,0,UK
3,0,male,26,0,0,7.879199982,IR
3,1,female,,1,0,15.5,IR
1,1,female,27,1,2,52,UK
1,0,male,28.5,0,0,27.7208004,FR
2,1,female,45,0,0,13.5,UK
3,0,male,49,0,0,0,UK
1,1,female,54,1,0,59.40000153,FR
2,0,male,,0,0,15.04580021,FR
3,0,male,23,1,0,13.89999962,UK
3,0,male,,0,0,8.050000191,UK
1,1,female,22,1,0,66.59999847,UK
3,1,male,21,0,0,7.820799828,IR
2,0,male,27,1,0,26,UK
1,0,male,65,0,0,26.54999924,UK
3,0,male,,0,0,7.224999905,FR
3,0,male,,0,0,7.224999905,FR
2,0,male,19,1,1,36.75,UK
1,1,female,35,0,0,512.3292236,FR
3,0,male,4,4,1,29.125,IR
2,0,male,54,1,0,26,UK
3,0,male,47,0,0,7.25,UK
1,1,male,34,0,0,26.54999924,UK
3,0,male,,0,0,14.5,UK
3,0,male,,0,0,8.050000191,UK
2,0,male,62,0,0,9.6875,IR
1,0,male,55,0,0,50,UK
3,1,female,,1,0,15.5,IR
3,0,female,48,1,3,34.375,UK
3,0,male,25,0,0,7.25,UK
3,1,female,,0,0,7.787499905,IR
2,0,male,48,0,0,13,UK
3,0,male,36,0,0,7.25,UK
1,1,female,50,0,1,247.5207977,FR
3,0,male,,0,0,7.895800114,UK
3,0,male,22,0,0,8.050000191,UK
3,1,male,,1,1,22.35829926,FR
3,0,male,24,0,0,7.495800018,UK
3,1,male,,1,1,15.24580002,FR
3,0,male,18,0,0,8.300000191,UK
1,1,female,22,1,0,66.59999847,UK
3,0,male,29,0,0,7.925000191,UK
3,0,female,22,0,0,10.51669979,UK
1,0,male,45,0,0,26.54999924,UK
3,0,male,,0,0,7.224999905,FR
3,0,male,1,4,1,39.6875,UK
3,0,male,21,0,0,7.854199886,UK
1,0,male,36,1,0,78.84999847,UK
1,1,female,58,0,0,26.54999924,UK
3,1,male,,0,0,7.775000095,UK
1,0,male,55,0,0,30.5,UK
1,1,male,35,0,0,26.54999924,FR
3,0,female,6,4,2,31.27499962,UK
3,0,male,24,0,0,9.5,UK
1,1,female,18,2,2,262.375,FR
3,0,male,,0,0,7.25,UK
3,0,male,20,0,0,8.050000191,UK
2,0,male,43,0,1,21,UK
3,0,male,45,0,0,6.974999905,UK
3,0,male,22,0,0,8.050000191,UK
3,0,male,,0,0,8.050000191,UK
3,0,female,26,0,2,13.77499962,UK
3,0,female,26,1,0,16.10000038,UK
2,1,male,,0,0,13.86250019,FR
2,1,female,24,1,1,37.00419998,FR
2,1,female,14,1,0,30.07080078,FR
3,1,male,18,0,0,8.050000191,UK
1,0,male,,0,0,0,UK
1,0,male,28,1,0,82.17079926,FR
1,0,male,64,1,0,75.25,FR
3,1,male,32,0,0,7.925000191,UK
3,0,male,,0,0,7.895800114,UK
2,0,male,16,0,0,10.5,UK
3,0,male,28,0,0,56.49580002,UK
3,0,female,20,1,0,9.824999809,UK
1,0,male,64,1,4,263,UK
3,0,male,,0,0,8.050000191,UK
3,0,male,30,0,0,8.050000191,UK
3,0,female,22,0,0,10.51669979,UK
3,1,female,38,0,0,7.229199886,FR
3,0,male,35,0,0,7.050000191,UK
2,1,male,42,0,0,13,UK
2,1,male,8,1,1,36.75,UK
2,1,female,30,0,0,12.35000038,IR
2,0,male,61,0,0,12.35000038,IR
3,0,male,,0,0,7.895800114,UK
3,0,male,17,0,0,8.662500381,UK
1,1,male,60,1,1,79.19999695,FR
3,0,male,44,0,0,8.050000191,UK
1,0,male,33,0,0,26.54999924,UK
3,0,female,2,4,2,31.27499962,UK
2,1,male,0.666700006,1,1,14.5,UK
3,1,female,22,0,0,7.724999905,IR
3,0,male,,0,0,7.224999905,FR
2,0,male,59,0,0,13.5,UK
1,0,male,28,1,0,82.17079926,FR
2,0,male,18.5,0,0,13,UK
1,0,male,47,1,0,227.5249939,FR
3,0,male,8,4,1,29.125,IR
2,1,female,26,0,0,13.5,UK
3,0,female,,0,0,8.112500191,UK
1,0,male,,0,0,0,UK
3,0,female,,1,2,23.45000076,UK
3,1,female,4,0,2,22.02499962,UK
3,0,male,,0,0,7.224999905,FR
3,0,male,,0,0,14.5,UK
3,1,female,23,0,0,7.854199886,UK
1,0,male,65,0,0,26.54999924,UK
3,1,male,45,0,0,8.050000191,UK
2,1,female,48,0,2,36.75,UK
3,0,male,,0,0,7.895800114,UK
3,0,male,,0,0,6.4375,FR
3,0,male,26,0,0,7.775000095,UK
3,1,male,,0,0,7.050000191,UK
3,1,female,,0,0,7.75,IR
3,1,female,,0,0,7.879199982,IR
1,1,female,49,1,0,76.72920227,FR
1,1,female,55,2,0,25.70000076,UK
1,0,male,33,0,0,5,UK
3,0,male,36,0,0,7.895800114,UK
2,1,female,50,0,1,26,UK
1,0,male,29,0,0,30,UK
3,1,female,17,4,2,7.925000191,UK
3,0,female,37,0,0,7.75,IR
3,1,male,,2,0,23.25,IR
2,0,male,19,0,0,10.5,UK
3,0,male,,0,0,8.050000191,UK
2,0,male,39,0,0,13,UK
1,0,male,38,0,1,153.4624939,UK
3,0,male,33,0,0,7.854199886,UK
1,1,female,55,2,0,25.70000076,UK
2,0,male,17,0,0,73.5,UK
1,1,female,40,0,0,153.4624939,UK
3,1,female,,1,1,22.35829926,FR
1,0,male,21,0,1,77.28749847,UK
3,0,male,30,0,0,7.25,UK
3,0,male,34,0,0,6.495800018,UK
1,1,female,,1,0,89.10420227,FR
3,0,male,36,1,1,24.14999962,UK
1,1,female,16,0,1,39.40000153,UK
2,1,female,25,0,1,26,UK
3,0,male,,0,0,8.050000191,UK
3,0,female,27,1,0,7.925000191,UK
3,0,male,,0,0,7.75,IR
3,0,male,49,0,0,0,UK
2,1,female,50,0,0,10.5,UK
2,0,male,27,0,0,13,UK
3,0,male,,0,0,8.050000191,UK
3,0,male,6,1,1,15.24580002,FR
1,1,male,,0,0,30.5,UK
3,0,male,17,1,0,7.054200172,UK
3,0,female,,8,2,69.55000305,UK
