id,name,country,region,winery,varietal,price,vintage,type,snoothrank,user_ratings,critic_scores
855,Argyle Brut Rosé Willamette Valley,USA,"Oregon (-121.746595, 44.687298)",Wild Duck Creek,Champagne,75,2003,Red Wine,3.5,3.75,92.5
878,Rodney Strong Cabernet Sauvignon Sonoma County,USA,"California (-122.387185, 38.406418)",Rodney Strong Vineyards,Cabernet Sauvignon,15.99,2008,Red Wine,3.5,3.107142857,87
198,Chateau Palmer Margaux Third Growth,France,"Bordeaux (-0.434217, 44.966195)",Chateau Palmer,Cabernet Sauvignon,249.99,2004,Red Wine,4,2.625,93
78,Domaine Christian Moreau Pere et Fils Chablis Grand Cru les Clos,France,"Burgundy (4.828234, 46.839000)",Domaine Christian Moreau Père et Fils,Chardonnay,93.79,2006,White Wine,4,4.166666667,93
605,Sagelands Merlot Columbia Valley,USA,"Washington (-121.460951, 47.963348)",Sagelands Vineyard,Merlot,11.36,2006,Red Wine,3.5,3.3,90
184,Bonny Doon Vineyard Syrah Central Coast le Pousseur,France,"South West (1.685129, 43.910241)",Bonny Doon Vineyard,Tannat,17.99,2004,Red Wine,3,3.083333333,84.75
344,Chateau Coutet Barsac Chateau Coutet Barsac Semillon,France,"Bordeaux (-0.434217, 44.966195)",Coutet Barsac,Sémillon,63.22,2005,White Wine,4,4,92
849,Sebastiani Sonoma County Zinfandel,USA,"California (-122.387185, 38.406418)",Sebastiani Vineyards,Zinfandel,29.99,2008,Red Wine,2.5,2.75,89.5
285,Château Saint-Pierre Red Bordeaux Blend St. Julien,France,"Bordeaux (-0.434217, 44.966195)",Château Saint-Pierre,Bordeaux Blend,64.36,2006,Red Wine,3.5,3.75,91.33333333
513,Don Sebastiani & Sons Cabernet Sauvignon Napa Valley Smoking Loon,USA,"California (-122.387185, 38.406418)",Don Sebastiani & Sons,Cabernet Sauvignon,6.97,2005,Red Wine,3,3.369565217,85
855,Argyle Brut Rosé Willamette Valley,USA,"Oregon (-121.746595, 44.687298)",Wild Duck Creek,Champagne,75,2003,Red Wine,3.5,3.75,92.5
406,Domaine les Pallieres Gigondas,France,"Rhône (4.905138, 45.152446)",Domaine les Pallieres,Rhône Blend,32.99,2004,Red Wine,4,4.333333333,88
493,Domaine Leflaive Puligny-Montrachet les Pucelles Premiere Cru,France,"Burgundy (4.828234, 46.839000)",Domaine Leflaive,Chardonnay,256.33,2005,White Wine,4,3.333333333,93
666,Vinum Cellars Chenin Blanc,USA,"California (-122.387185, 38.406418)",Vinum Cellars,Chenin Blanc,12.99,2007,White Wine,2.5,3.166666667,84
58,Louis Jadot Pinot Noir Bonnes Mares Grand Cru,France,"Burgundy (4.828234, 46.839000)",Maison Louis Jadot,Pinot Noir,219.99,2006,Red Wine,3.5,3.71875,94
210,Old School Rouge,France,"Languedoc-Roussillon (3.234202, 43.537080)",Château Maris,Grenache,12.99,2011,Red Wine,3.5,3.75,89
111,Saint-Cosme Red Rhone Blend Côtes du Rhône,France,"Rhône (4.905138, 45.152446)",Château de Saint-Cosme,Viognier,81.93,2005,Red Wine,4,4.333333333,90.33333333
377,Domaine Laroche Chablis les Clos,France,"Burgundy (4.828234, 46.839000)",Domaine Laroche,Chardonnay,33.42,2005,White Wine,3.5,2.25,90
603,Cupcake Vineyards Merlot San Luis Obispo County,USA,"California (-122.387185, 38.406418)",Cupcake Vineyards,Merlot,9.99,2006,Red Wine,3,2.891304348,87
710,Mcmanis Family Vineyards Pinot Noir San Joaquin County,USA,"California (-122.387185, 38.406418)",McManis Family Vineyards,Pinot Noir,9.99,2011,Red Wine,2.5,2.25,86
246,Chateau Latour Pauillac Premier,France,"Bordeaux (-0.434217, 44.966195)",Château Latour,Bordeaux Blend,13.99,2007,Red Wine,3,3.25,92.33333333
305,Christian Lauverjat Moulin des Vrillères Sancerre Rosé,France,"Loire (0.389758, 47.407122)",Domaine de la Perrière,Sauvignon Blanc,25.93,2010,White Wine,3.5,3.375,91
8,Didier Champalou Vouvray,France,"Loire (0.389758, 47.407122)",E.A.R.L. Champalou,Chenin Blanc,12.99,2007,White Wine,3.5,3.375,90
301,Pascal Jolivet Sancerre,France,"Loire (0.389758, 47.407122)",Pascal Jolivet,Sauvignon Blanc,23.99,2009,White Wine,3,3.25,89
777,Charles Smith Riesling Washington Kung Fu Girl,USA,"Oregon (-121.746595, 44.687298)",Charles Smith,Riesling,13.99,2010,White Wine,3.5,2.966666667,90
706,Pepperwood Springs Vineyards Pinot Noir California,USA,"California (-122.387185, 38.406418)",Pepperwood Springs Vineyards,Pinot Noir,7.99,2003,Red Wine,2,3.25,72
685,Columbia Crest Horse Heaven Hills Chardonnay Columbia Valley,USA,"Washington (-121.460951, 47.963348)",Columbia Crest,Chardonnay,11.99,2009,White Wine,3.5,3.25,88
666,Vinum Cellars Chenin Blanc,USA,"California (-122.387185, 38.406418)",Vinum Cellars,Chenin Blanc,12.99,2007,White Wine,2.5,3.166666667,84
492,Chartron & Trébuchet Bienvenues-Bâtard-Montrachet,France,"Burgundy (4.828234, 46.839000)",Chartron et Trébuchet,Chardonnay,79,1999,White Wine,3,3.666666667,93
506,Columbia Crest Merlot Columbia Valley Grand Estates,USA,"Washington (-121.460951, 47.963348)",Columbia Crest,Merlot,6.99,2004,Red Wine,4,3.538461538,88.5
140,Domaine Maria Fita Fitou,France,"Languedoc-Roussillon (3.234202, 43.537080)",Domaine Maria Fita,Rhône Blend,23.99,2002,Red Wine,3.5,3.5,88
175,Frederic Magnien Latricieres Chambertin,France,"Burgundy (4.828234, 46.839000)",Frédéric Magnien,Pinot Noir,196.62,2005,Red Wine,4,2,90
331,Domaine Marquis d'Angerville Volnay Clos des Ducs Premiere Cru,France,"Burgundy (4.828234, 46.839000)",Domaine Marquis d'Angerville,Pinot Noir,251.39,2002,Red Wine,4,3,94
202,Sylvain Pataille Marsannay,France,"Burgundy (4.828234, 46.839000)",Domaine Sylvain Pataille,Pinot Noir,32.23,2005,Red Wine,3.5,2.75,87
337,Château Redortier Côtes du Rhône Villages Beaumes-de-Venise,France,"Rhône (4.905138, 45.152446)",Château Redortier,Rhône Blend,15.99,2000,Red Wine,3.5,3.75,86
364,Château l'Ermitage Red Bordeaux Blend Listrac-Médoc,France,"Rhône (4.905138, 45.152446)",Château l'Ermitage,Syrah,9.99,2005,Red Wine,3.5,1.8,86
230,Sauvion and Fils Muscadet de Sèvre et Maine,France,"Loire (0.389758, 47.407122)",Sauvion et Fils,Muscadet,14.99,2010,White Wine,2.5,3.75,88
381,Domaine Humbert Gevrey Chambertin Poisse,France,"Burgundy (4.828234, 46.839000)",Domaine Humbert Frères,Pinot Noir,61.99,2005,Red Wine,3.5,4.25,88
540,Pacific Rim Riesling,USA,"Oregon (-121.746595, 44.687298)",Pacific Rim,Riesling,9.99,2011,White Wine,3,3.25,88
353,Domaine des Baumard Clos du Papillon Savennieres,France,"Loire (0.389758, 47.407122)",Domaine des Baumard,Chenin Blanc,38.99,2005,White Wine,3.5,3.833333333,91
70,Château de la Chaize Brouilly,France,"Burgundy (4.828234, 46.839000)",Château De La Chaize,Gamay,17.99,2005,Red Wine,3.5,3.375,86
734,Belle Glos Pinot Noir California Meiomi,USA,"California (-122.387185, 38.406418)",Meiomi,Pinot Noir,19.99,2010,Red Wine,4,3.386363636,90.33333333
391,Louis Jadot Clos Vougeot Grand Cru a Selection of Wines Or Other Items France Cote de Nuits Pinot Noir,France,"Burgundy (4.828234, 46.839000)",Maison Louis Jadot,Pinot Noir,149,2005,Red Wine,4,4.25,94
689,Gloria Ferrer Chardonnay Carneros,USA,"California (-122.387185, 38.406418)",Gloria Ferrer Caves and Vineyards,Chardonnay,18,2008,White Wine,4,4,91
731,Carmel Road Pinot Noir,USA,"California (-122.387185, 38.406418)",Carmel Road Winery,Pinot Noir,15.99,2009,Red Wine,3.5,3.5,88
427,Château Cabezac Minervois Tradition,France,"Languedoc-Roussillon (3.234202, 43.537080)",Château Cabézac,Syrah,24.99,2003,Red Wine,3.5,4.25,89
74,Château de Haute-Serre Malbec Blend Cahors,France,"South West (1.685129, 43.910241)",Château de Haute-Serre,Malbec,21.99,2002,Red Wine,3.5,3.875,88
859,Quilceda Creek Cabernet Sauvignon Columbia Valley,USA,"Washington (-121.460951, 47.963348)",Quilceda Creek Vintners,Cabernet Sauvignon,221.9,2004,Red Wine,4.5,4.6875,96.25
403,Château Péby Faugères Saint-Émillion Grand Cru,France,"Bordeaux (-0.434217, 44.966195)",Chateau Faugères,Merlot,15.5,2002,Red Wine,3.5,3.25,89.33333333
23,Juslyn Spring Mountain Estate,USA,"California (-122.387185, 38.406418)",Juslyn Vineyards,Cabernet Sauvignon,85.99,2003,Red Wine,4,4.5,89
172,Delas Freres Hermitage Marquise de la Tourette,France,"Rhône (4.905138, 45.152446)",Delas Frères,Syrah,63.29,2005,Red Wine,4,4,94.5
206,Mercurey la Framboisière Faiveley Vin Rouge Vin Tranquille France Bourgogne J. Faiveley Mercurey,France,"Burgundy (4.828234, 46.839000)",J. Faiveley,Chardonnay,125,2005,White Wine,4,3.166666667,92.33333333
74,Château de Haute-Serre Malbec Blend Cahors,France,"South West (1.685129, 43.910241)",Château de Haute-Serre,Malbec,21.99,2002,Red Wine,3.5,3.875,88
208,Chateau Maris Syrah Minervois la Livinlere la Touge,France,"Languedoc-Roussillon (3.234202, 43.537080)",Château Maris,Syrah,14.99,2009,Red Wine,4,4.333333333,89
586,Paraduxx Napa Valley,USA,"California (-122.387185, 38.406418)",Paraduxx,Zinfandel,19.99,2001,Red Wine,4,3.3,90
570,Bonny Doon Vineyard Zinfandel California Cardinal Zin,USA,"California (-122.387185, 38.406418)",Bonny Doon Vineyard,Zinfandel,12.99,2006,Red Wine,3,2.875,86
752,Ironstone Vineyards Cabernet Sauvignon Sierra Foothills Estate Grown Reserve,USA,"California (-122.387185, 38.406418)",Ironstone Vineyards,Cabernet Sauvignon,10,2006,Red Wine,3.5,3.5,87
661,Geyser Peak Sauvignon Blanc Alexander Valley,USA,"California (-122.387185, 38.406418)",Geyser Peak Winery,Sauvignon Blanc,13.99,2008,White Wine,3,3,92
391,Louis Jadot Clos Vougeot Grand Cru a Selection of Wines Or Other Items France Cote de Nuits Pinot Noir,France,"Burgundy (4.828234, 46.839000)",Maison Louis Jadot,Pinot Noir,149,2005,Red Wine,4,4.25,94
12,Château Beaulieu Comtes de Tastes,France,"Bordeaux (-0.434217, 44.966195)",Château de Beaulieu,Merlot,17.99,2003,Red Wine,3.5,1.625,89
794,Charles Smith Syrah Boom Boom Usa Washington State Columbia Syrah,USA,"Oregon (-121.746595, 44.687298)",Charles Smith,Syrah,14.99,2010,Red Wine,2.5,2.375,90
880,La Crema Chardonnay Sonoma,USA,"California (-122.387185, 38.406418)",La Crema Winery,Chardonnay,15.99,2010,White Wine,3.5,3.5,89
774,Chehalem Chardonnay Willamette Valley Inox,USA,"Oregon (-121.746595, 44.687298)",Chehalem,Chardonnay,16.61,2009,White Wine,4,4.25,88
732,Carmel Road Monterey Pinot Noir,USA,"California (-122.387185, 38.406418)",Carmel Road Winery,Pinot Noir,16.99,2010,Red Wine,3.5,2.5,85
158,E. Guigal Gigondas Red,France,"Rhône (4.905138, 45.152446)",E. Guigal,Grenache,27.99,2007,Red Wine,3.5,3,90.5
108,Domaine Bernard Baudry Chinon,France,"Loire (0.389758, 47.407122)",Domaine Bernard Baudry,Cabernet Sauvignon,39.28,2005,Rosé Wine,4,3.25,91.25
673,Bogle Chardonnay California,USA,"California (-122.387185, 38.406418)",Bogle Vineyards,Chardonnay,8.99,2012,White Wine,3,3,84
383,Gevrey Chambertin 1 Cru Cazetiersdomaine Louis Jadot Frankrig Bourgogne,France,"Burgundy (4.828234, 46.839000)",Maison Louis Jadot,Pinot Noir,69.99,2005,Red Wine,3.5,3.5,88.5
268,Château Haut-Marbuzet Red Bordeaux Blend St. Estèphe,France,"Bordeaux (-0.434217, 44.966195)",Château Haut-marbuzet,Bordeaux Blend,103.39,1990,Red Wine,4,4.25,94
163,Château Carbonnieux Weiss,France,"Bordeaux (-0.434217, 44.966195)",Château Carbonnieux,Sauvignon Blanc,32.99,2004,White Wine,4,4,90
546,Pine Ridge Chenin Blanc-Viognier California,USA,"California (-122.387185, 38.406418)",Pine Ridge Vineyard,Chenin Blanc,59.99,1999,Red Wine,3.5,3.375,93.66666667
880,La Crema Chardonnay Sonoma,USA,"California (-122.387185, 38.406418)",La Crema Winery,Chardonnay,15.99,2010,White Wine,3.5,3.5,89
130,Cave de Tain Crozes-Hermitage White,France,"Rhône (4.905138, 45.152446)",Cave de Tain,Marsanne,18.99,2009,White Wine,4,3.5,90
603,Cupcake Vineyards Merlot San Luis Obispo County,USA,"California (-122.387185, 38.406418)",Cupcake Vineyards,Merlot,9.99,2006,Red Wine,3,2.891304348,87
48,Domaine Tempier Bandol Cuvée Spéciale,France,"Provence (6.267443, 43.581821)",Domaine Tempier,Mourvèdre,36,2006,Red Wine,3.5,3.416666667,92.5
696,Sutter Home Winery Chardonnay California,USA,"California (-122.387185, 38.406418)",Sutter Home Winery,Chardonnay,5,2009,White Wine,2,1.5,78
391,Louis Jadot Clos Vougeot Grand Cru a Selection of Wines Or Other Items France Cote de Nuits Pinot Noir,France,"Burgundy (4.828234, 46.839000)",Maison Louis Jadot,Pinot Noir,149,2005,Red Wine,4,4.25,94
313,Savigny-Lès-Beaune Aoc,France,"Languedoc-Roussillon (3.234202, 43.537080)",Vignole,Pinot Noir,34.99,2007,Red Wine,3.5,2.35,90.5
263,Bouchard Aîné et Fils Chardonnay Rully,France,"Burgundy (4.828234, 46.839000)",Bouchard Ainé et Fils,Chardonnay,28.63,2007,White Wine,3,2.125,89
82,Domaine William Fevre Chablis Grand Cru les Clos,France,"Burgundy (4.828234, 46.839000)",Viña William Fèvre,Chardonnay,95,2006,White Wine,4,4,96.5
554,Bridlewood Estate Winery Blend 175 Central Coast Wines Domestic Other Reds,USA,"California (-122.387185, 38.406418)",Bridlewood Estate Winery,Cabernet Sauvignon,13.99,2011,Red Wine,4,3.5,83
272,Les Pelerins de Lafon-Rochet Red Bordeaux Blend St. Estèphe,France,"Bordeaux (-0.434217, 44.966195)",Château Lafon-Rochet,Bordeaux Blend,107.7,1996,Red Wine,3.5,3.625,90.5
553,Bogle Vineyards Zinfandel California Old Vine,USA,"California (-122.387185, 38.406418)",Bogle Vineyards,Zinfandel,11.99,2009,Red Wine,3.5,3.166666667,86
598,Bogle Vineyards Merlot California,USA,"California (-122.387185, 38.406418)",Bogle Vineyards,Merlot,10,2009,Red Wine,4,3.3,85
872,Frei Bros Russian River Chard,USA,"California (-122.387185, 38.406418)",Frei Brothers Reserve,Chardonnay,14.39,2009,Red Wine,3.5,2.9,88
597,Beaulieu Vineyard Merlot,USA,"California (-122.387185, 38.406418)",Beaulieu Vineyard,Merlot,6.99,2004,Red Wine,2.5,2.571428571,90
741,Yamhill Valley Pinot Noir,USA,"Oregon (-121.746595, 44.687298)",Yamhill Valley Vineyards,Pinot Noir,18.62,2007,Red Wine,3.5,3.875,85
783,Chateau Ste. Michelle Merlot Columbia Valley,USA,"Oregon (-121.746595, 44.687298)",Chateau Ste. Michelle,Merlot,17.29,2002,Red Wine,3.5,1.75,88.5
538,Columbia Crest Cabernet Sauvignon Columbia Valley Grand Estates,USA,"Oregon (-121.746595, 44.687298)",Columbia Crest,Cabernet Sauvignon,9.99,2001,Red Wine,3.5,2.9,89.66666667
910,Chateau Ste. Michelle Riesling Eroica Dr Loosen Columbia Valley,USA,"Oregon (-121.746595, 44.687298)",Chateau Ste. Michelle,Riesling,19.99,2011,White Wine,3,3,93
509,Barefoot Cellars Zinfandel California,USA,"California (-122.387185, 38.406418)",Barefoot Cellars,Zinfandel,6.49,2004,Red Wine,3,3.192307692,86
37,Xavier Flouret Pinot Noir Menetou-Salon Rouge Noir,France,"Loire (0.389758, 47.407122)",Xavier Flouret,Pinot Noir,24.99,2006,Red Wine,4,4.166666667,88
541,Pacific Rim Riesling,USA,"Oregon (-121.746595, 44.687298)",Pacific Rim,Riesling,10.99,2010,White Wine,3.5,3.666666667,90
676,Beringer Private Reserve Chardonnay,USA,"California (-122.387185, 38.406418)",Beringer Vineyards,Chardonnay,11.99,2011,White Wine,4,3.916666667,90
64,Le Blanc du Château Prieuré-Lichine,France,"Bordeaux (-0.434217, 44.966195)",Domaine du Mas Blanc - S.C.A Docteur Parcé & Fils Propriétaire,Sauvignon Blanc,62.88,2002,White Wine,3,3,88.33333333
499,Woodbridge Merlot,USA,"California (-122.387185, 38.406418)",Woodbridge by Robert Mondavi,Merlot,2.3,2001,Red Wine,3.5,3.25,79
707,Toad Hollow Pinot Noir Sonoma County Eye of the Toad,USA,"California (-122.387185, 38.406418)",Toad Hollow Vineyards,Pinot Noir,11.99,2010,Rosé Wine,3.5,3.5,90
685,Columbia Crest Horse Heaven Hills Chardonnay Columbia Valley,USA,"Washington (-121.460951, 47.963348)",Columbia Crest,Chardonnay,11.99,2009,White Wine,3.5,3.25,88
790,Adelsheim Pinot Gris,USA,"Oregon (-121.746595, 44.687298)",Adelsheim Vineyard,Pinot Grigio,16.99,2009,White Wine,3,3.5,90.5
230,Sauvion and Fils Muscadet de Sèvre et Maine,France,"Loire (0.389758, 47.407122)",Sauvion et Fils,Muscadet,14.99,2010,White Wine,2.5,3.75,88
880,La Crema Chardonnay Sonoma,USA,"California (-122.387185, 38.406418)",La Crema Winery,Chardonnay,15.99,2010,White Wine,3.5,3.5,89
485,Champagne Veuve Clicquot Ponsardin Demi-Sec,France,"Champagne (3.850451, 49.233237)",Veuve Clicquot Ponsardin,Champagne,54.99,2010,Sparkling Wine,3.5,4,90.5
741,Yamhill Valley Pinot Noir,USA,"Oregon (-121.746595, 44.687298)",Yamhill Valley Vineyards,Pinot Noir,18.62,2007,Red Wine,3.5,3.875,85
469,Cru Bourgeois Exceptionnel Médoc Bordeaux Rouge,France,"Bordeaux (-0.434217, 44.966195)",L'Exceptionnel,Bordeaux Blend,20.37,2006,Red Wine,3.5,3.333333333,85
844,Ridge Lytton Springs,USA,"California (-122.387185, 38.406418)",Ridge,Zinfandel,39.99,2010,Red Wine,3.5,4,93
