zipf0.01,zipf0.5,zipf1,zipf1.5,zipf2,zipf2.5,zipf3
7862,1,2,1,2,1,1
6366909841696158,29,1,1,1,2,4
1675163,20,2,1,11,1,1
16214689610683788,2,1,1,2,1,1
10,7,5,2,1,1,1
33521,38856,2,1,1,1,2
1,217,1,1,1,1,1
5548402,4,1,2,1,1,1
7188558031,1,1,2,1,1,1
1502132919061,2,1,1,1,1,1
100739,1,1,1,1,1,2
119,2,5,1,1,1,1
5355,1,2,14,1,1,1
770,2,1,2,1,8,1
26129951552944996,2,2,6,1,1,1
8861089,1,1,3,2,1,1
356498698778248,7,7,1,1,1,1
4143729171375283,2936,3,1,2,1,1
18,1,4,1,1,1,1
7037682765449,2,1,1,1,1,1
4,2870,1,2,1,1,1
61581093,10,1,1,2,3,2
1726724657,4,1,1,1,2,1
96670308268363040,1,1,1,1,1,1
1165467708280,2,1,2,1,1,1
71454253349214824,4,2,1,1,1,1
521,4,1,1,1,1,1
1,1,1,1,1,1,1
2587421,4,9,2,1,1,1
4981619984009079808,1,2,2,1,1,1
353111856358407744,1,2,1,1,1,2
2076132550,8,1,2,3,1,1
2,1,1,1,5,1,1
1054,2,7,8,1,1,1
145534881,1,2,1,2,2,1
2932172,21,1,2,1,1,1
7910346826276,3,1,2,1,1,1
2107175167828564736,2,1,1,1,1,1
978819,2,14,1,1,6,3
14288471519,1,1,1,1,1,1
480146820693,1,1,1,1,1,1
994648622656,6,1,1,1,1,1
524500,29,1,1,1,1,1
102576402,497,1,2,1,1,1
1,2,3,1,1,1,1
6136454052251896,4,1,1,1,1,1
48548505,45,1,6,1,1,1
783,3,1,1,1,1,1
2122,1,2,2,1,1,1
685618494653188608,1,3,1,1,2,2
2541443783,3,1,1,2,1,1
536,31,1,1,1,1,1
9020932361997,2,107,2,1,1,1
156231,1,2,1,1,1,1
26238364,1,1,1,1,1,1
8602,7,1,1,1,1,1
1032251112554937,4,7,1,2,1,1
729062,1,1,1,1,1,1
3008306476106785792,10,8,1,6,1,1
941609,19,2,1,1,1,2
1121132,1,1,1,1,1,1
14457882777920080,2,4,3,1,1,3
1368637633,1,1,1,1,1,1
346472314,42,1,1,1,2,1
3586,2,1,1,1,1,2
6161777629102559,29,77,3,1,1,1
562846921098,6,1,1,2,2,1
7265,2,1,31,1,1,1
81794,3,292,3,1,1,1
3838196004155817984,6,1,1,3,1,3
13010,1,1,1,1,4,1
4592450158042,261,1,1,2,1,1
136288328522,2,1,3,1,1,1
10829002915257774,1,1,1,1,1,3
8668500324301033472,9,1,1,2,1,1
488774611,1,1,3,1,1,2
3806829005586674,1,3,1,3,1,1
10513855597737598,150,1,2,2,1,1
153121,18,3,1,1,2,2
97,2,1,2,1,1,1
23341245902,31036,1,1,1,1,1
16526,199,9,1,1,1,1
24310807010,1,1,1,1,1,1
4285830120,1,3,1,1,1,1
129553364804202,35,1,1,1,10,1
209461352649555,2,1,1,1,2,1
8286668019,22,8,1,1,1,1
454,2,1,1,1,1,2
1284,28,1,1,1,1,1
98707093167579808,3,2,1,2,1,1
24557,1,1,1,1,1,1
101591,3,1,2,1,1,1
690,1,1,1,1,1,1
18,6,1,1,1,1,1
4857,2,1,7,2,1,1
104715922486193,3,1,4,3,1,1
38,1,2,1,1,1,1
5377136,2,1,2,1,2,1
4186,2,4,1,1,1,1
4,28,1,1,1,2,1
2767868318734170112,122,7,1,2,1,1
948755762219,47,1,1,1,1,1
6025193556688378880,60,1,1,1,1,1
2068158019858969088,3,1,1,1,1,2
8155875297201624064,6,1,5,4,1,1
393321077,1,1,1,1,1,1
164,91,3,1,1,2,1
171156857521063264,3,2,2,1,1,1
20379698,2,2,1,1,1,1
28193,1233,1,2,1,1,1
1877,17,1,1,1,1,1
241,1,7,1,1,1,1
25687,2,2,1,2,1,1
170376,189,1,3,1,2,1
13428,3,1,1,1,1,1
1,2,1,1,1,1,1
7314753472038132,5,1,1,2,1,1
147716613937385984,2,1,1,1,1,1
311,205636,1,1,1,1,1
8724,3,2,4,1,1,1
198914736,1,2,1,1,1,1
28652064579537904,16,1,1,1,1,1
3124330829,53,1,1,2,1,1
3,64,1,1,1,1,1
164460918,5,1,1,1,1,2
65119760154,5,1,1,1,1,1
1,5,11,1,1,1,1
33766,1,1,1,1,2,1
1960981627,3,1,3,1,1,2
38420512820748,19,3,1,2,1,1
495293,1,6,2,1,1,1
7623774439282680832,54,1,1,1,1,1
1151066095648,28,1,1,2,1,1
63,2,1,1,1,1,1
9524761194189,3,2,2,1,3,1
3215346,1,1,1,1,1,1
146673336,59,5,1,1,1,1
3,1,3,1,2,1,1
739476077143199,8,1,1,1,1,1
15326447101,1,1,3,1,1,1
18,1,4,2,1,1,1
16,1,1,1,1,1,1
202891212666867680,9,1,1,1,1,1
182772278611,1,1,1,1,1,1
300,1,1,1,1,1,1
4072654010858645,1,1,1,1,1,1
162,6,1,1,2,1,1
816043074980,5,2,1,1,1,1
388,3,1,2,1,1,1
10861390,13,2,1,2,1,1
154571933853,10,1,1,1,1,1
55504265,6,47,1,1,1,1
276894101059930,1,1,2,1,1,1
8351231568944199680,1,1,1,1,1,1
31481017445430212,9,2,1,1,2,1
10673835093513502,8,1,1,2,1,1
752285307,200,1,5,1,1,1
569410797985,1,2,1,1,1,1
15,62,1,1,1,1,1
26442824454,3,1,1,1,1,1
1706,3,1,1,1,1,1
4705693,1,1,1,1,1,1
19988293456545016,1,7,1,1,1,1
169084247873,27,2,1,1,1,1
876666510947455872,721,3,1,1,2,1
23500515,21,1,1,1,1,2
3915902654,1,1,1,1,1,2
1753077019911239,35,2,3,2,1,1
9623328329675,1,1,41,1,1,1
1081580736143,1,6,1,1,1,1
4487983063029288960,2,1,1,1,1,1
3309699284416,3,1,2,1,1,1
60732903108,1,1,1,1,1,1
11220812425,1,1,1,4,1,1
143417859336214,1,1,1,1,1,1
742,1,1,5,1,1,1
27796764355532088,1,2,1,1,1,1
6,2,1,1,1,1,1
38,89216,48,2,1,1,1
556485815376025,1,10,2,1,1,1
56050,1,1,1,1,3,1
10510073524297618,2,1,1,1,4,1
1301,1,1,1,1,1,1
1667172554988342528,1,14,1,1,2,1
131,1,2,1,1,1,1
4230445480,6,1,1,1,1,1
169276552431297184,3,1,1,4,1,1
2054,2,1,1,1,2,1
296825,1,3,1,1,1,1
957160187056897,2,1,2,1,1,1
263061,1,4,1,1,1,1
467238,1,1,1,1,1,5
244310529973357344,19,1,1,1,1,1
134455,1,1,1,1,1,1
43,1,1,1,1,1,1
1,2,1,1,1,1,1
400669959712108,1,1,2,2,1,1
2736445525,1559,1,6,1,1,1
69,1,2,1,1,1,1
220383,1,1,1,1,1,1
4,5689,1,1,1,1,1
4,1,1,1,2,2,1
412499030,7,2,1,1,1,1
7991793245565,2,1,1,1,1,1
698114538444202,7,1,1,1,1,1
58274,1,1,2,1,1,1
3620,11,1,1,1,2,1
1211455557905,1391,1,2,1,1,1
